"","BUS_STOP_N","BUS_ROOF_N","LOC_DESC","LONGITUDE","LATITUDE"
"1","78221","B06","BLK 231A CP",103.961166888274,1.3740662099265
"2","63359","B01","HOUGANG SWIM CPLX",103.887823572928,1.36940523361262
"3","64141","B13","AFT JLN TELAWI",103.908216897198,1.36468646431607
"4","83139","B07","AFT JOO CHIAT PL",103.909967265287,1.31454341089334
"5","55231","B02","OPP SBST ANG MO KIO DEPOT",103.848324211182,1.38563060886342
"6","55351","B03","OPP FUDU WALK P/G",103.836955739657,1.38978539225752
"7","92089","B10","CHIJ KATONG CON",103.917586017139,1.30717830683679
"8","80271","B06","OPP MOUNBATTEN STN",103.882955679184,1.30511774411619
"9","82059","B02","OPP TG KATONG RD STH P/G",103.897498015504,1.30115297203435
"10","97089","B02","OPP SELARANG PK DRUG REH.",103.980050660165,1.37082373429912
"11","77099","B06","BEF PASIR RIS AVE",103.946334492732,1.38038484929533
"12","08137","B08","ORCHARD PLAZA",103.841059400185,1.30071132776507
"13","43301","B02","OPP HILLBROOKS",103.762022073696,1.35893382945525
"14","49249","B08","AFT NEO TIEW RD",103.725488695579,1.43708752149617
"15","16051","B25","THE CRYSTAL TABERNACLE CH",103.774966328879,1.28985207147201
"16","98099","B02","BLK 269A",103.9633383535,1.36457092731584
"17","58019","B22","AFT SEMBAWANG SHOP CTR",103.824740022165,1.44082834581156
"18","08111","B03","WINSLAND HSE",103.84084687648,1.29986550584404
"19","75201","B01","BLK 835",103.93354623954,1.35081022581079
"20","20251","B01","BEF TEBAN GDNS RD",103.744563764383,1.31984793178928
"21","68131","B09","OPP YOUTH FLYING CLUB",103.86188357049,1.41464483914321
"22","11101","B09","FARRER RD MKT",103.806027137377,1.31624189375673
"23","14281","B06","SAFRA MT FABER",103.818008294862,1.27705005616327
"24","55509","NIL","YIO CHU KANG INT",103.845600747781,1.38106843933013
"25","50059","B10","OPP THOMSON MED CTR",103.842107772871,1.3248009446871
"26","76319","B02","TAMPINES EAST STN EXIT D",103.955586078188,1.35765718461628
"27","03411","B04","OPP MARINA STH PIER STN",103.863059367411,1.27164433420994
"28","62109","B09","AFT UPP S'GOON RD",103.873899417408,1.34366449395345
"29","15109","B07","LP 30",103.785856946013,1.28585290980371
"30","52141","B10","OPP BLK 139A",103.843261057794,1.33626809856981
"31","25379","NIL","AFT TUAS AVE 6",103.648970482445,1.32422443082699
"32","45101","B25","AFT LP 234",103.754568681893,1.41865193081871
"33","42039","B30","OPP THE NEXUS",103.787856112719,1.33463619389787
"34","64121","B19","AFT ANG MO KIO AVE 5",103.876499755477,1.37981846035458
"35","54201","B05","OPP BLK 155",103.839301745022,1.37616210061373
"36","93089","B04","OPP GOODWILL CT",103.927829931485,1.31296940595194
"37","58151","B03","BEF SEMBAWANG STN",103.821987064518,1.44842249532671
"38","51069","B22","MT ALVERNIA HOSP",103.836662968006,1.34101292552641
"39","30059","B15","OPP TRACK 14",103.726648460349,1.37437275005694
"40","94049","B16","AFT BEDOK STH AVE 3",103.944729173389,1.31614340864195
"41","28161","B11","BEF HONG KAH FLYOVER",103.719196869,1.35602639862782
"42","67659","B03","AFT SENGKANG WEST RD",103.870714490727,1.38951701434947
"43","71101","B01","BLK 318",103.902889855015,1.32821173374917
"44","58479","B01","AFT INNOVA PRI SCH",103.790092857572,1.42813384875973
"45","21421","B03","BLK 176",103.710326605958,1.34727720184267
"46","10659","B02","BLK 1003",103.814489313561,1.28366209485858
"47","52149","B09","BLK 139A",103.843568282207,1.33633592011946
"48","96391","B01","AFT CHANGI BIZ PK CRES",103.967817008631,1.33692475067967
"49","16121","B05","GALEN",103.783728060523,1.28626750680804
"50","09059","B01","NATL YOUTH COUNCIL",103.836158627108,1.3004127068963
"51","54481","B14","ITE COLLEGE CTRL",103.855821089631,1.37600902283183
"52","13031","B06","OPP CHATSWORTH RD",103.817135186117,1.2993098095448
"53","12199","B03","OPP VILLAGE TWRS",103.778139078684,1.31546831028084
"54","28521","B05","BLK 457",103.72110869761,1.35098329571604
