"","HCI_CODE","HCI_NAME","LICENCE_TYPE","HCI_TEL","POSTAL_CD","ADDR_TYPE","BLK_HSE_NO","FLOOR_NO","UNIT_NO","STREET_NAME","BUILDING_NAME","CLINIC_PROGRAMME_CODE","X_COORDINATE","Y_COORDINATE","INC_CRC","FMEL_UPD_D","LONGITUDE","LATITUDE","ADDRESS"
"1","9400215","CHEN FAMILY CLINIC","MC","62812212","550153","A","153","01","490","SERANGOON NORTH AVE 1","","CDMP,CHAS,ISP","32339.52891176","39107.77178935","5735366281148E76","20200902122251",103.8721921,1.3702817,"153 Serangoon North Ave 1, #01-490, Singapore 550153"
"2","9400217","CHENG CLINIC","MC","64542482","560447","A","447","01","1677","ANG MO KIO AVE 10","","CDMP,CHAS,ISP","30520.51301653","38834.40912772","D9DB5548ED492190","20200902122251",103.8559103,1.3675144,"447 Ang Mo Kio Ave 10, #01-1677, Singapore 560447"
"3","9402131","CHEONG FAMILY CLINIC PTE LTD","MD","62975125","210045","A","45","01","293","OWEN RD","","CDMP,CHAS","29948.34860314","33097.40992463","9D76E0F0E4397AFD","20200902122251",103.8508147,1.3155827,"45 Owen Rd, #01-293, Singapore 210045"
"4","9400227","CHEONG MEDICAL CLINIC","MC","94686311","598589","A","76","","","JLN JURONG KECHIL","","CDMP,CHAS","21323.87225701","35856.65875235","CB0A0F8035120824","20200902122251",103.7733319,1.3404487,"76 Jln Jurong Kechil, Singapore 598589"
"5","9400229","CHERN MEDICAL CLINIC","MC","67810036","521138","A","138","01","112","TAMPINES ST 11","","CDMP,CHAS,ISP","40494.3994882","36404.85564443","675C854370A76B65","20200902122251",103.9456244,1.3454615,"138 Tampines St 11, #01-112, Singapore 521138"
"6","9403966","CHESTMED pte ltd","MC","62351466","228510","B","3","12","03","Mount Elizabeth","Mount Elizabeth Medical Centre","CDMP,CHAS","28236.02090344","31944.05636557","01D9874E852820E6","20200902122251",103.8360498,1.3048385,"3 Mount Elizabeth, #12-03, Singapore 228510"
"7","9400234","CHIA & LEE MEDICAL & DENTAL CLINIC","MD","67812969","520802","A","802","01","15","TAMPINES AVE 4","","CDMP,CHAS","39653.68111803","36468.94271225","A29970A1E9544CCE","20200902122251",103.93801,1.3460914,"802 Tampines Ave 4, #01-15, Singapore 520802"
"8","9400237","CHIA CLINIC AND SURGERY","MC","62980959","209264","B","27","01","04","FOCH ROAD","HOA NAM BUILDING","CDMP,CHAS","30965.91532599","32777.42990681","2402A88A425A7040","20200902122251",103.8601223,1.3121897,"27 Foch Road, #01-04, Singapore 209264"
"9","9405391","CHIEW CLINIC","MC","63828002","548008","B","2","01","09","KOVAN ROAD","SIMON PLAZA","CDMP,CHAS","33750.73469768","38225.96681057","D355BE71AE7A4AF1","20200902122251",103.8849336,1.3620031,"2 Kovan Road, #01-09, Singapore 548008"
"10","9400242","CHIN CHOO CLINIC","MD","67452815","370035","A","35","01","430","CIRCUIT ROAD","","CDMP,CHAS,ISP","33864.05049199","34597.22804781","636CACB39D71CF7F","20200902122251",103.8859897,1.3291935,"35 Circuit Road, #01-430, Singapore 370035"
