"","ADDRESSBLOCKHOUSENUMBER","LATITUDE","EST_ORIGINAL_COMPLETION_DATE","STATUS","APPROXIMATE_GFA","LONGITUDE","INFO_ON_CO_LOCATORS","AWARDED_DATE","LANDYADDRESSPOINT","PHOTOURL","DESCRIPTION","NAME","ADDRESSTYPE","ADDRESSBUILDINGNAME","HUP_COMPLETION_DATE","LANDXADDRESSPOINT","ADDRESSSTREETNAME","ADDRESSPOSTALCODE","IMPLEMENTATION_DATE","ADDRESS_MYENV","INC_CRC","FMEL_UPD_D"
"1","85",1.33198706861747,"30/6/1977","Existing","",103.938732580554,"","","34910.13","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1267853253145.jpg","HUP Standard Upgrading","85 Fengshan Centre","I","","20/12/2012","39731.49","Bedok North Street 4","460085","","Blk 85, Bedok North Street 4, Singapore 460085","CFC780A1B5DC7721","20210330151704"
"2","85",1.28733076703987,"4/4/1972","Existing","",103.818338919994,"","","29972.02","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262153717849.jpg","HUP Reconfiguration","Redhill Food Centre","I","","17/6/2005","26332.89","Redhill Lane","150085","","Blk 85, Redhill Lane, Singapore 150085","1D515CA502CE0A60","20210330151704"
"3","590",1.37238494002145,"1974","Existing","884.38",103.828994204342,"","","39376.87","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262155861677.jpg","HUP Standard Upgrading","Jalan Leban Food Centre","I","","26/2/2003","27518.75","Upper Thomson Road","574419","","590, Upper Thomson Road, Singapore 574419","6CC207917DD43B91","20210330151704"
"4","49A",1.3631571201113,"1957","Existing","2448.2",103.866737484646,"","","38356.53","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262156095817.jpg","HUP Rebuilding","Serangoon Garden Market","I","","26/9/2002","31719.13","Serangoon Garden Way","555945","","49A, Serangoon Garden Way, Singapore 555945","F3EA4B58784B2F78","20210330151704"
"5","320",1.35200744198417,"25/5/2000","Existing","",103.837031803823,"","","37123.63","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1259901832200.jpg","Not eligible for HUP","Shunfu Mart","I","","","28413.24","Shunfu Road","570320","","Blk 320, Shunfu Road, Singapore 570320","93EF4005DC826C1A","20210330151704"
"6","49",1.31708335109103,"20/9/1976","Existing","",103.879417030673,"","","33261.95","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262153128123.jpg","HUP Reconfiguration","Sims Vista Market and Food Centre","I","","15/11/2006","33130.31","Sims Place","380049","","Blk 49, Sims Place, Singapore 380049","87604B5AB1B25468","20210330151704"
"7","335",1.28223514826381,"31/5/1983","Existing","",103.843177616296,"","","29408.57","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1265168178798.jpg","HUP Reconfiguration","Chinatown Complex Market","I","","30/4/2008","29097.23","Smith Street","50335","","Blk 335, Smith Street, Singapore 050335","B4A7F7D00E4690FF","20210330151704"
"8","3",1.33458935951076,"23/3/2005","Existing","7770.3",103.721519868629,"","","35197.91","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262156147897.jpg","HUP Rebuilding","Taman Jurong Market and Food Centre","I","","23/3/2005","15557.970000000001","Yung Sheng Road","618499","","3, Yung Sheng Road, Singapore 618499","45EB3EEB56AAB21F","20210330151704"
"9","137",1.3456395210229,"30/11/1982","Existing","",103.944624481151,"","","36419.78","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262154543785.jpg","HUP Reconfiguration","Tampines Round Market and Food Centre","I","","8/1/2006","40387.13","Tampines Street 11","521137","","Blk 137, Tampines Street 11, Singapore 521137","F6017D5F1F34E420","20210330151704"
"10","48A",1.30078931480841,"1964","Existing","2030.92",103.797625756738,"","","31460.22","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262156211794.jpg","HUP Standard Upgrading","Tanglin Halt Market","I","","1/10/2003","24027.71","Tanglin Halt Road","148813","","48A, Tanglin Halt Road, Singapore 148813","74052054BAD38DD9","20210330151704"
