"","NAME","LONGITUDE","LATITUDE","ADDRESS","POSTALCODE","EMAIL","KEEPERNAME","TOTALROOMS","INC_CRC","FMEL_UPD_D"
"1","Jayleen Clarke Quay Hotel",103.847502570641,1.28871525038832,"25 New Bridge Road","59390","jayleenclarkequay@gmail.com","James Federick Chong Kah Yean","20","FB331A5207372FF2","20210128110627"
"2","JEN Singapore Orchardgateway by Shangri-La",103.839224077005,1.30050954183517,"277 Orchard Road , # 10-01","238858","singaporeorchardgateway@hoteljen.com","Kuok Oon Kwong","499","BE1CAD1F9EA0CAE3","20210128110627"
"3","JEN Singapore Tanglin by Shangri-La",103.823912360589,1.3042705309298,"1A Cuscaden Road","249716","singaporetanglin@hoteljen.com","Kuok Oon Kwong","565","B5529ACF9E6012E4","20210128110627"
"4","JH HOTEL",103.877460163672,1.311585869313,"8 LORONG 10 GEYLANG","399041","anguskt@gmail.com","CHEN ZHIQIONG","42","A22CE6E92D6AEBF0","20210128110627"
"5","Ji Hotel Orchard Singapore",103.844455112735,1.297722839747,"11 PENANG LANE INNOTEL","238485","","Koo Sheuan","81","66BD9D0F880BBBD4","20210128110627"
"6","Jin Dong Hotel",103.87880673682,1.31022734045131,"33 Lorong 12 Geylang","399007","","ong kum fatt","33","D7209ADD0712A1B6","20210128110627"
"7","Joyfor Singapore",103.873959999289,1.31118301196188,"135 Geylang Road","389226","joyfor.sg@gmail.com","Koo Seck Chong","17","D30116664B182FD0","20210128110627"
"8","JW Marriott Hotel Singapore South Beach",103.855516058723,1.29465290571138,"30 Beach Road","189763","jw.sinjw.contactus@marriott.com","STEPHANE LOUIS FABREGOUL","634","7A601D8BEC62E672","20210128110627"
"9","K Hotel",103.876502260862,1.30999424174174,"44 LORONG 6 GEYLANG","399199","","CAI WENCHAO","56","0BE03789A9C46C8B","20210128110627"
"10","Holiday Inn Express Singapore Katong",103.904574228644,1.30485336795088,"88 EAST COAST ROAD, # 07-05 KATONG SQUARE","423371","","Adel Aramouni","451","5849E01E116E3183","20210128110627"
