"","X","Name","Type","Longitude","Latitude","Address"
"1",1,"44 Tan Quee Lan St","Taxi Stop",103.856424176319,1.298932432441,"44 Tan Quee Lan St, Singapore 188128"
"2",2,"51 Canning Rise","Taxi Stop",103.846081628069,1.29624001232131,"51 Canning Rise, Singapore 179872"
"3",3,"6 Raffles Blvd","Taxi Pick Up / Drop Off",103.856686628417,1.29237922991845,"6 Raffles Blvd, Marina Square, Singapore 039594"
"4",4,"Promenade Stn/Pan Pacific","Taxi Stand",103.859847473921,1.29153065269657,"Promenade Stn/Pan Pacific, Singapore"
"5",5,"3 Temasek Blvd","Taxi Stand",103.858656268984,1.29534702995174,"3 Temasek Blvd, Singapore"
"6",6,"7VV5+XR Singapore","Taxi Stand",103.859507617426,1.29498128502243,"7VV5+XR Singapore"
"7",7,"6 Raffles Blvd","Taxi Stand",103.857872556488,1.29161937346893,"6 Raffles Blvd, Marina Square, Singapore 039594"
"8",8,"6 Temasek Ave","Taxi Stand",103.860595017617,1.29283496469325,"6 Temasek Ave, Singapore"
"9",9,"The Esplanade","Taxi Stand",103.856291387949,1.28982162211444,"The Esplanade, Singapore"
"10",10,"1 Raffles Blvd","Taxi Stand",103.856945313495,1.29280372329861,"1 Raffles Blvd, Singapore 039593"
"11",11,"80 Bras Basah Rd","Taxi Pick Up / Drop Off",103.853718463304,1.29333906354879,"80 Bras Basah Rd, Singapore 189560"
"12",12,"39 Armenian St","Taxi Stand",103.84928148489,1.2942069528347,"39 Armenian St, Singapore 179941"
"13",13,"51 Telok Blangah Drive","Taxi Stand",103.80942338294,1.27348368415072,"51 Telok Blangah Drive, #01-116/118, Blangah View, Singapore 100051"
"14",14,"Changi Airport Terminal 4 Departure Transit Hall Mezzanine Level","Taxi Stop",103.985117442976,1.33947465437917,"Changi Airport Terminal 4 Departure Transit Hall Mezzanine Level, Singapore 819665"
"15",15,"50 Tanah Merah Ferry Rd","Taxi Stand",103.988343200499,1.31437071788956,"50 Tanah Merah Ferry Rd, Tanah Merah Ferry Terminal, Singapore 498833"
"16",16,"217 Queen St","Taxi Stop",103.85218281982,1.29807285037655,"217 Queen St, Singapore 188548"
"17",17,"302 Shunfu Rd","Taxi Stand",103.839350784556,1.34941741692215,"302 Shunfu Rd, Block 302, Singapore 570302"
"18",18,"101 Victoria St","Taxi Pick Up / Drop Off",103.852736813676,1.29730959597586,"101 Victoria St, Singapore 188018"
"19",19,"Shaw Twrs","Taxi Stand",103.857019660095,1.29716395018008,"Shaw Twrs, Singapore 189768"
"20",20,"25 Purvis St","Taxi Stand",103.855413485152,1.29623768823441,"25 Purvis St, Singapore 188602"
"21",21,"320 Victoria St","Taxi Stand",103.855608532144,1.30000940881912,"320 Victoria St, Singapore 188045"
"22",22,"739A Bedok Reservoir Rd","Taxi Stand",103.924013556237,1.33809963085631,"739A Bedok Reservoir Rd, Singapore 471739"
"23",23,"814 Hougang Central","Taxi Stand",103.892920720311,1.37148195599604,"814 Hougang Central, Singapore"
"24",24,"Sengkang Stn","Taxi Stand",103.895998104289,1.39265834120457,"Sengkang Stn, Singapore"
"25",25,"9 Deptford Rd","Taxi Stand",103.829891106924,1.45894682350124,"9 Deptford Rd, Singapore 759658"
"26",26,"3B River Valley Rd","Taxi Stand",103.845772830405,1.29133284409031,"3B River Valley Rd, Singapore 179021"
"27",27,"960 Woodlands Rd","Taxi Stop",103.762255765278,1.42561427476295,"960 Woodlands Rd, #01-08, Singapore 738702"
"28",28,"177C River Valley Rd","Taxi Stand",103.845274572741,1.29170672083974,"177C River Valley Rd, Singapore 179036"
"29",29,"50 Mosque St","Taxi Stand",103.844051958324,1.28429452535958,"50 Mosque St, Singapore 059528"
"30",30,"11 New Market Rd","Taxi Stand",103.843773680124,1.285977549218,"11 New Market Rd, Singapore 050032"
"31",31,"72 Temple St","Taxi Stop",103.843273632624,1.28345291308769,"72 Temple St, Singapore 058616"
"32",32,"No. 20 Upper Circular Rd","Taxi Stop",103.848140265008,1.28896389350774,"No. 20 Upper Circular Rd, #03-06A The Riverwalk, Singapore 058416"
"33",33,"19 Carpenter St","Taxi Stand",103.847481756511,1.28843046073473,"19 Carpenter St, Singapore 059908"
"34",34,"2 Magazine Rd","Taxi Stand",103.842152244739,1.28863630416669,"2 Magazine Rd, Singapore 059570"
"35",35,"6 Eu Tong Sen St","Taxi Stand",103.84623041488,1.28880542033725,"6 Eu Tong Sen St, Singapore 059817"
"36",36,"30 Merchant Rd","Taxi Stand",103.844040018511,1.28920456848288,"30 Merchant Rd, Singapore"
"37",37,"30 N Canal Rd","Taxi Stand",103.84742678802,1.2867777226113,"30 N Canal Rd, Singapore 059286"
"38",38,"4 Circular Rd","Taxi Stand",103.848893782102,1.2879690749993,"4 Circular Rd, Singapore 049360"
"39",39,"1 Pickering St","Taxi Pick Up / Drop Off",103.847616387035,1.28491188011325,"1 Pickering St, Singapore 048659"
"40",40,"79 Circular Rd","Taxi Stand",103.848810176948,1.28688656715113,"79 Circular Rd, Singapore 049433"
"41",41,"7RMW+9M Singapore","Taxi Stop",103.846673278257,1.28346964198384,"7RMW+9M Singapore"
"42",42,"9 Battery Rd","Taxi Stop",103.852107912258,1.28519190664247,"9 Battery Rd, Singapore 049910"
"43",43,"1 Old Parliament Ln","Taxi Stand",103.851198093633,1.28823316772338,"1 Old Parliament Ln, Singapore 179429"
"44",44,"9 Raffles Pl","Taxi Stop",103.851238932313,1.28345131750554,"9 Raffles Pl, Singapore 048619"
"45",45,"16 Collyer Quay","Taxi Stop",103.852736816126,1.28420476348012,"16 Collyer Quay, Singapore 049318"
"46",46,"65 Market St","Taxi Stand",103.850273494159,1.28441342082348,"65 Market St, Singapore 048941"
"47",47,"19 Tanglin Rd","Taxi Stand",103.826886684682,1.30646919814699,"19 Tanglin Rd, Singapore 247909"
"48",48,"250 North Bridge Road","Taxi Stand",103.852748459854,1.29353055985866,"250 North Bridge Road, #06-00 , Raffles City Tower, Singapore 179101"
"49",49,"7VV3+PG Singapore","Taxi Pick Up / Drop Off",103.853766300826,1.29425981917501,"7VV3+PG Singapore"
"50",50,"30 Seng Poh Rd","Taxi Stand",103.832675520586,1.28473835932554,"30 Seng Poh Rd, Singapore 168898"
"51",51,"4 Tampines Central 5","Taxi Stand",103.945224063824,1.35241407387779,"4 Tampines Central 5, Singapore 529510"
"52",52,"Telok Blangah Rd","Taxi Stand",103.821203456897,1.26587789263804,"Telok Blangah Rd, Singapore"
"53",53,"Katong Shop Ctr","Taxi Stand",103.901377015848,1.30384362574116,"Katong Shop Ctr, Singapore"
"54",54,"Farrer Rd","Taxi Stand",103.807305864922,1.3173843614615,"Farrer Rd, Farrer Road, Singapore"
"55",55,"492 Jurong West Street 41","Taxi Stand",103.725202658896,1.35009864026874,"492 Jurong West Street 41, Singapore"
"56",56,"400 Orchard Rd","Taxi Stop",103.829093966641,1.30719206804558,"400 Orchard Rd, Singapore 238875"
"57",57,"Pasir Ris Dr 1","Taxi Stop",103.949567396798,1.37272868417855,"Pasir Ris Dr 1, Pasir Ris, Singapore"
"58",58,"15 N Canal Rd","Taxi Stop",103.848490884395,1.28593524755099,"15 N Canal Rd, Singapore 048827"
"59",59,"168 Anson Rd","Taxi Pick Up / Drop Off",103.847482624812,1.2773738774022,"168 Anson Rd, Capital Tower, Singapore 068912"
"60",60,"6a Shenton Way","Taxi Stop",103.848900805922,1.2774352111078,"6a Shenton Way, Singapore 068807"
"61",61,"4 Shenton Way","Taxi Stop",103.849842876287,1.27905252389978,"4 Shenton Way, Singapore 068807"
"62",62,"49 Robinson Rd","Taxi Stop",103.849394650034,1.27962397773735,"49 Robinson Rd, Singapore 068881"
"63",63,"77 Robinson Rd","Taxi Stop",103.848501793491,1.27813835922775,"77 Robinson Rd, Robinson 77, Singapore 068896"
"64",64,"21 Marina Station Road","Taxi Pick Up / Drop Off",103.855560059163,1.27664231947882,"21 Marina Station Road, Singapore 018990"
"65",65,"24 Peck Seah St","Taxi Stand",103.845087402195,1.27836886481263,"24 Peck Seah St, Singapore 079314"
"66",66,"2 East Coast Ave","Taxi Stand",103.922591200143,1.30820272088081,"2 East Coast Ave, Singapore 459170"
"67",67,"79 Tg Pagar Rd","Taxi Stand",103.843737072622,1.2778773021466,"79 Tg Pagar Rd, Singapore 088500"
"68",68,"Aft Tg Katong Cplx","Taxi Stand",103.895113700144,1.31723437661623,"Aft Tg Katong Cplx, Aft Tg Katong Cplx, Singapore"
"69",69,"60 Duxton Rd","Taxi Stand",103.843165313049,1.27784393236069,"60 Duxton Rd, Singapore 089524"
"70",70,"32 Tras St","Taxi Stand",103.844215379526,1.27875755503055,"32 Tras St, Singapore 078972"
"71",71,"785 Bukit Timah Rd","Taxi Stop",103.796775193086,1.33101885572463,"785 Bukit Timah Rd, Singapore 269761"
"72",72,"28 Shenton Way","Taxi Stop",103.847052001531,1.27466733661775,"28 Shenton Way, Singapore"
"73",73,"10 Anson Rd","Taxi Stand",103.846128972144,1.27570136618978,"10 Anson Rd, International Plaza, Singapore 079903"
"74",74,"62 Anson Rd","Taxi Pick Up / Drop Off",103.844904054244,1.27370385357596,"62 Anson Rd, Singapore 079909"
"75",75,"6 Hoe Chiang Rd","Taxi Stop",103.842683370638,1.27417995494247,"6 Hoe Chiang Rd, Singapore"
"76",76,"The Amara","Taxi Stop",103.843317281311,1.27505224129529,"The Amara, Singapore"
"77",77,"80 Anson Rd","Taxi Stand",103.843801578038,1.27344843070012,"80 Anson Rd, Singapore 079907"
