"","NAME","Latitude","Longitude","Opening Hours","Street","Description1","Description2","URL Path","Website","Image Link","Image Text","Image By","Last Modified","INC_CRC","FMEL_UPD_D","X_ADDR","Y_ADDR"
"1","Chinatown Heritage Centre","1.28351","103.84435","Daily, 9am – 8pm,Last entry at 7pm.*Chinatown Heritage Centre will be closed for renovation from 1 October 2014 till end-2015.","48 Pagoda Street","Experience how Singapore’s early Chinese migrants once lived and learn more about local Chinese culture at the Chinatown Heritage Centre.","At the Chinatown Heritage Centre, experience how Singapore’s early Chinese migrants once lived and learn more about local Chinese culture.","https://www.visitsingapore.com/see-do-singapore/culture-heritage/heritage-discovery/chinatown-heritage-centre","http://www.singaporechinatown.com.sg/","www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/culture-heritage/chinatown-heritage-centre-carousel01-rect.jpg","Learn more about local Chinese culture at the Singapore Chinatown Heritage Centre.","Joel Chua DY","2015-11-02T10:16:52.847+08:00","255C03B58EE7B003","1/9/2017 2:59:32 PM","29227.7061","29549.5371"
"2","Thian Hock Keng Temple","1.28094","103.84763","Daily, 7.30am – 5.30pm","158 Telok Ayer Street","Beautifully restored, Thian Hock Keng Temple is the oldest Chinese temple in Singapore and dedicated to Mazu, the Goddess of the Sea.","Thian Hock Keng Temple is the oldest Chinese temple in Singapore and dedicated to Mazu, the Goddess of the Sea.","https://www.visitsingapore.com/see-do-singapore/culture-heritage/places-of-worship/thian-hock-keng-temple","http://www.thianhockkeng.com.sg","www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/culture-heritage/thian-hock-kheng-temple-carousel01-rect.jpg","The Thian Hock Keng Temple in Singapore is dedicated to Mazu, the Goddess of the Sea.","Joel Chua DY","2015-11-02T10:20:57.245+08:00","D5D3E3930E0C117F","1/9/2017 2:59:32 PM","29592.7445","29265.3615"
"3","Eurasian Heritage Centre","1.31007","103.89942","Tuesday to Sunday, 9am – 6pm, Closed on Monday","139 Ceylon Road","This engaging heritage attraction takes you through the history and culture of the Eurasian community in Singapore.","This engaging heritage attraction takes you through the history and culture of the Eurasian community in Singapore.","https://www.visitsingapore.com/see-do-singapore/culture-heritage/heritage-discovery/eurasian-heritage-centre","http://www.eurasians.org.sg/","www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/culture-heritage/eurasian-heritage-centre-carousel01-rect.jpg","Discover the history and culture of the Eurasian community in Singapore.","Joel Chua DY","2015-11-02T10:13:25.883+08:00","9CB05BD01BA1715C","1/9/2017 2:59:32 PM","35356.4676","32486.4992"
"4","Shophouses","1.277219","103.837336","","","With many beautifully preserved examples on hand today, the shophouses in Singapore are prime examples of timeless architectural appeal.","Few buildings epitomise our culture as fully as the shophouse, with its surprisingly harmonious mix of diverse design elements.","https://www.visitsingapore.com/see-do-singapore/architecture/historical/shophouses-typology","","www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/architecture/shophouses-typology-carousel01-rect.jpg","The varying styles of Singapore's shophouses are a showcase of our evolving architecture.","","2015-11-02T10:15:26.429+08:00","720A9127274D4EF2","1/9/2017 2:59:32 PM","28447.0623","28853.8642"
"5","Pinnacle@Duxton","1.27549","103.84142","50th storey Skybridge, Daily, 9am –10pm","1 Cantonment Road","The soaring lines and stunning views of majestic residential estate Pinnacle at Duxton will make you forget your fear of heights. Almost.","With its lofty towers and dizzying sky gardens, the Pinnacle at Duxton takes residential living to soaring new heights.","https://www.visitsingapore.com/see-do-singapore/architecture/modern/pinnacle-at-duxton","http://www.pinnacleduxton.com.sg","www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/architecture/the-pinnacle-duxton-carousel01-rect.jpg","The Pinnacle@Duxton's architecture is a refreshing change in a sea of concrete blocks.","Malcolm Tredinnick","2015-11-02T09:37:49.535+08:00","2C6A0BFEF4508DE7","1/9/2017 2:59:32 PM","28901.624","28662.7257"
"6","Hajjah Fatimah Mosque","1.30291","103.86285","Daily, 9am –9pm","4001 Beach Road","The Hajjah Fatimah Mosque will captivate you with its intriguing blend of cross-cultural architectural influences.","With its tilting European-style minaret and Chinese tiling, the Hajjah Fatimah Mosque is one of the most unique mosques in Singapore.","https://www.visitsingapore.com/see-do-singapore/architecture/historical/hajjah-fatimah-mosque","","/content/dam/desktop/global/see-do-singapore/architecture/hajjah-fatimah-mosque-carousel01-rect.jpg","The Hajjah Fatimah Mosque in Singapore features an intriguing blend of cross-cultural architectural influences.","","2015-11-02T09:55:25.479+08:00","7E566C807458EAF9","1/9/2017 2:59:32 PM","31286.5785","31694.7056"
"7","Haw Par Villa","1.28551","103.78314","Daily, 9am – 7pm","262 Pasir Panjang Road","Embark on an unforgettable journey into Chinese folklore and mythology at the Haw Par Villa theme park.","A visit to the Haw Par Villa theme park is an unforgettable journey into Chinese folklore and mythology.","https://www.visitsingapore.com/see-do-singapore/culture-heritage/heritage-discovery/haw-par-villa","","","","","2015-11-02T10:03:18.577+08:00","5D5A48757DF05F69","1/9/2017 2:59:32 PM","22415.5418","29770.739"
"8","NUS Baba House","1.27731","103.83731","Visits are by appointment only.Visitors must sign up in advance for heritage tours which fall on:Monday, 2pm – 3pm,Tuesday, 6.30pm – 7.30pm,Thursday, 10am – 11am,Saturday, 11am – 12pm","157 Neil Road","This heritage house lends rich insight into Singapore's Peranakan community, thanks to beautifully preserved architecture and artefacts.","NUS Baba House is a heritage house that gives a rich look at Singapore's Peranakan community, thanks to beautifully preserved architecture and artefacts.","https://www.visitsingapore.com/see-do-singapore/culture-heritage/heritage-discovery/nus-baba-house","http://www.nus.edu.sg/museum/baba","www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/culture-heritage/baba-house-carousel02-rect.jpg","Beautifully preserved architecture and artefacts make the NUS Baba House a must-visit.","","2015-11-02T10:05:26.618+08:00","0DA5B95C21C26A5A","1/9/2017 2:59:32 PM","28444.2132","28863.9707"
"9","Hong San See Temple Singapore","1.29316","103.841222","Daily","31 Mohamed Sultan Road","Restored by expert craftsmen from China, the Hong San See temple has been brought back to its full glory.","Dancing dragons and prancing phoenixes are just some of the visual delights to catch at the exquisitely restored Hong San See temple.","https://www.visitsingapore.com/see-do-singapore/architecture/historical/hong-san-see","","","","","2015-11-02T10:04:31.503+08:00","B87236103D7369A5","1/9/2017 2:59:32 PM","28879.5822","30616.583"
"10","Capitol Building Singapore","1.29354","103.85157","","11 Stamford Road","The queen of Singapore cinemas will soon reclaim her crown as the premier entertainment hub when Capitol Building reopens next year.","Now undergoing massive restoration works, Capitol Building will emerge as Singapore’s premier entertainment hub next year.","https://www.visitsingapore.com/see-do-singapore/architecture/historical/capitol-building-singapore","http://www.capitolsingapore.com","www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/architecture/capitol-building-carousel01-rect-norender.jpg","The Capitol Building's distinctive facade adds a touch of grandeur to the cityscape.","","2015-11-02T10:06:38.723+08:00","C7F2EE424864FB14","1/9/2017 2:59:32 PM","30031.2246","30658.6073"
