"","STN_NAME","STN_NO","LONGITUDE","LATITUDE"
"1","Eunos MRT Station","EW7",103.903252466738,1.31977895155364
"2","Chinese Garden MRT Station","EW25",103.732596738073,1.34235282087474
"3","Khatib MRT Station","NS14",103.832979907738,1.41738337015355
"4","Kranji MRT Station","NS7",103.7621654109,1.42517769877045
"5","Redhill MRT Station","EW18",103.816816670149,1.28956272640245
"6","Yew Tee MRT Station","NS5",103.747405114138,1.39753501779341
"7","Pioneer MRT Station","EW28",103.697321512936,1.33758688220475
"8","Commonwealth MRT Station","EW20",103.798304515629,1.30243873532717
"9","Paya Lebar MRT Station","EW8/CC9",103.893060355252,1.31811208229528
"10","Simei MRT Station","EW3",103.953371694176,1.34320289493073
"11","Tampines MRT Station","EW2/DT32",103.945148688649,1.35330135634243
"12","Admiralty MRT Station","NS10",103.800988000812,1.44058500108541
"13","Yishun MRT Station","NS13",103.835005046195,1.4294430808108
"14","Pasir Ris MRT Station","EW1",103.949268118245,1.37298377357949
"15","Clementi MRT Station","EW23",103.765298874326,1.31495449242359
"16","Aljunied MRT Station","EW9",103.88290604466,1.31643261165784
"17","Ang Mo Kio MRT Station","NS16",103.84993299389,1.36934730378856
"18","Expo MRT Station","CG1/DT35",103.961548210708,1.33454977783781
"19","Choa Chu Kang MRT Station","NS4",103.744340946182,1.38536169282881
"20","Jurong East MRT Station","EW24/NS1",103.742286544005,1.33315261989407
"21","Queenstown MRT Station","EW19",103.805884333892,1.29486093279499
"22","Tuas Link MRT Station","EW33",103.636878678349,1.34046376564821
"23","Gul Circle MRT Station","EW30",103.660552955908,1.31950521493821
"24","Woodlands MRT Station","NS9/TE2",103.786485134907,1.43687512821076
"25","Tuas Crescent MRT Station","EW31",103.649075478309,1.32102655324227
"26","Kallang MRT Station","EW10",103.871386541359,1.31148890964216
"27","Tuas West Road MRT Station","EW32",103.63961405603,1.32998908904914
"28","Buona Vista MRT Station","EW21/CC22",103.790191535174,1.30718346654733
"29","Dover MRT Station","EW22",103.778637841638,1.31140529292531
"30","Sembawang MRT Station","NS11",103.820046140548,1.44905082122729
"31","Kembangan MRT Station","EW6",103.912949388363,1.32103824885108
"32","Bukit Batok MRT Station","NS2",103.749566763852,1.34903410857667
"33","Boon Lay MRT Station","EW27",103.706064622596,1.33860405450327
"34","Bukit Gombak MRT Station","NS3",103.751893502082,1.35876185726145
"35","Marsiling MRT Station","NS8",103.774071461262,1.43251442063564
"36","Bedok MRT Station","EW5",103.929984494621,1.32397996888775
"37","Joo Koon MRT Station","EW29",103.678375142851,1.32771717309168
"38","Lakeside MRT Station","EW26",103.720949268479,1.3442592493947
"39","Tanah Merah MRT Station","EW4",103.946346460623,1.32718713453836
"40","Yio Chu Kang MRT Station","NS15",103.844947289754,1.381756046113
"41","Oasis LRT Station","PE6",103.912727355631,1.40228667749371
"42","Sam Kee LRT Station","PW1",103.904831550519,1.40961268508661
"43","Farmway LRT Station","SW2",103.889304810436,1.39717019645804
"44","Kupang LRT Station","SW3",103.881256221974,1.39821282839718
"45","Renjong LRT Station","SW8",103.890539427155,1.386723921528
"46","Bukit Panjang LRT Station","BP6",103.763013633785,1.3779098979822
"47","Fajar LRT Station","BP10",103.770808582509,1.38452079617522
"48","Punggol LRT Station","PTC",103.902411911985,1.40519470130243
"49","Samudera LRT Station","PW4",103.902156316391,1.41590171943877
"50","Nibong LRT Station","PW5",103.900313817673,1.41187045845323
"51","Soo Teck LRT Station","PW7",103.897209650317,1.40508858485396
"52","Kadaloor LRT Station","PE5",103.916486661973,1.39958485276111
"53","Coral Edge LRT Station","PE3",103.912580854809,1.39390922611749
"54","Thanggam LRT Station","SW4",103.875635156456,1.39731815499522
"55","Keat Hong LRT Station","BP3",103.749055519399,1.37860276598303
"56","Damai LRT Station","PE7",103.908603543644,1.40523483617199
"57","Cove LRT Station","PE1",103.905961944076,1.39928198501993
"58","Riviera LRT Station","PE4",103.916166058988,1.39452449576901
"59","Senja LRT Station","BP13",103.76236722595,1.38269229582416
"60","Jelapang LRT Station","BP12",103.764503338159,1.38670302501392
"61","Petir LRT Station","BP7",103.766668960223,1.37775033381722
"62","Teck Whye LRT Station","BP4",103.753712232199,1.37668467944391
"63","Choa Chu Kang LRT Station","BP1",103.744553731241,1.38483635996583
"64","South View LRT Station","BP2",103.745291800042,1.38029828721728
"65","Layar LRT Station","SW6",103.88002960035,1.3920798387726
"66","Kangkar LRT Station","SE4",103.902173988766,1.38397890183354
"67","Meridian LRT Station","PE2",103.908950216966,1.39691205306327
"68","Cheng Lim LRT Station","SW1",103.893797180836,1.39627763133581
"69","Punggol Point LRT Station","PW3",103.906650790466,1.41684852049577
"70","Sumang LRT Station","PW6",103.89855845405,1.4084524256477
"71","Fernvale LRT Station","SW5",103.876308611368,1.3918858877441
"72","Tongkang LRT Station","SW7",103.885844149908,1.38934795295969
"73","Pending LRT Station","BP8",103.771270178612,1.37614288278505
"74","Teck Lee LRT Station","PW2",103.906577622702,1.41277089386355
"75","Bangkit LRT Station","BP9",103.772649072571,1.38001789724209
"76","Bakau LRT Station","SE3",103.90543910424,1.38809270377511
"77","Rumbia LRT Station","SE2",103.905973595311,1.39146849683856
"78","Compassvale LRT Station","SE1",103.900492450628,1.39449304619806
"79","Ranggung LRT Station","SE5",103.89753716197,1.38388544191592
"80","Phoenix LRT Station","BP5",103.758034098387,1.3786188444529
"81","Segar LRT Station","BP11",103.76959839678,1.38777213086087
"82","Sengkang LRT Station","STC",103.895442583664,1.39160936381627
"83","Bras Basah MRT Station","CC2",103.850667371778,1.29686168652761
"84","Macpherson MRT Station","CC10/DT26",103.890287031366,1.32634537166126
"85","City Hall MRT Station","EW13/NS25",103.852585892344,1.29293624284609
"86","Tampines East MRT Station","DT33",103.954634462929,1.356191483037
"87","Tampines West MRT Station","DT31",103.938436971353,1.34551530530169
"88","Geylang Bahru MRT Station","DT24",103.871900625706,1.3215058380176
"89","Bendemeer MRT Station","DT23",103.862977987474,1.3136722325445
"90","Bencoolen MRT Station","DT21",103.850384254916,1.29886427041736
"91","Harbourfront MRT Station","NE1/CC29",103.821443069088,1.2654726398621
"92","Kent Ridge MRT Station","CC24",103.784427460626,1.29349606174481
"93","Punggol MRT Station","NE17",103.902072638407,1.40454672778795
"94","Tanjong Pagar MRT Station","EW15",103.845864229347,1.27652124669304
"95","One-North MRT Station","CC23",103.787457507831,1.29975987859199
"96","Stadium MRT Station","CC6",103.875350335179,1.30284062963322
"97","Bugis MRT Station","EW12/DT14",103.855706414017,1.30046507631525
"98","Somerset MRT Station","NS23",103.839075162344,1.30026005506544
"99","Orchard MRT Station","NS22/TE14",103.832241452067,1.30398101243688
"100","Jalan Besar MRT Station","DT22",103.855477016339,1.30540364222325
"101","Bayfront MRT Station","DT16/CE1",103.859079765132,1.28187378849154
"102","Sengkang MRT Station","NE16",103.89548469416,1.39169462609899
"103","Bukit Brown MRT Station","CC18",103.830689550137,1.33372888232144
"104","Mountbatten MRT Station","CC7",103.88252808081,1.30620190483124
"105","Kovan MRT Station","NE13",103.885064856336,1.36017917117915
"106","Fort Canning MRT Station","DT20",103.844328269609,1.29247892791748
"107","Farrer Road MRT Station","CC20",103.807586105746,1.31751061189577
"108","Downtown MRT Station","DT17",103.852840444039,1.27944619037872
"109","Esplanade MRT Station","CC3",103.855504105527,1.29332160761124
